timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
141.692,0,0,17909,3,145.86
141.782,0,0,17924,3,165.75
141.884,0,0,17939,3,147.04
141.998,0,0,17956,3,149.01
142.085,0,0,17971,3,172.85
142.183,0,0,17985,3,142.64
142.285,0,0,18003,3,176.17
142.384,0,0,18017,3,142.37
142.481,0,0,18029,3,123.03
142.584,0,0,18047,3,175.6
142.683,0,0,18060,3,130.96
142.78,0,0,18073,3,133.74
142.882,0,0,18089,3,157.82
142.985,0,0,18104,3,144.65
143.086,0,0,18118,3,139.5
143.183,0,0,18135,3,175.16
143.282,0,0,18149,3,140.55
143.38,0,0,18163,3,142.75
143.484,0,0,18181,3,173.47
143.582,0,0,18195,3,142.93
143.682,0,0,18209,3,139.43
143.784,0,0,18227,3,178.01
143.881,0,0,18240,3,133.77
143.983,0,0,18254,3,136.38
144.084,0,0,18271,3,169.3
144.183,0,0,18285,3,141.42
144.294,0,0,18301,3,143.85
144.38,0,0,18316,3,174.02
144.485,0,0,18331,3,143.02
144.582,0,0,18348,3,176.26
144.682,0,0,18362,3,138.84
144.781,0,0,18376,3,141.31
144.883,0,0,18394,3,177.21
144.983,0,0,18408,3,140.02
145.083,0,0,18422,3,139.7
145.182,0,0,18438,3,162.27
145.284,0,0,18453,3,146.25
145.384,0,0,18467,3,141.17
145.48,0,0,18484,3,175.89
145.585,0,0,18499,3,143.69
145.688,0,0,18513,3,135.96
145.781,0,0,18529,3,171.67
145.886,0,0,18544,3,142.04
145.985,0,0,18558,3,141.65
146.081,0,0,18575,3,177.35
146.184,0,0,18589,3,135.32
146.293,0,0,18604,3,138.5
146.381,0,0,18619,3,170.14
146.485,0,0,18634,3,144.3
146.596,0,0,18650,3,144.59
146.682,0,0,18665,3,173.13
146.784,0,0,18679,3,138.19
146.898,0,0,18696,3,148.64
146.985,0,0,18711,3,172.58
147.083,0,0,18725,3,142.05
147.181,0,0,18742,3,174.39
147.284,0,0,18757,3,145.69
147.382,0,0,18770,3,132.36
147.485,0,0,18787,3,165.6
147.584,0,0,18801,3,141.44
147.684,0,0,18815,3,139.78
147.784,0,0,18832,3,169
147.883,0,0,18846,3,142.13
147.983,0,0,18860,3,140.32
148.084,0,0,18878,3,177.93
148.182,0,0,18892,3,142.52
148.282,0,0,18906,3,140.11
148.38,0,0,18923,3,173.27
148.484,0,0,18938,3,144.12
148.585,0,0,18952,3,139.22
148.682,0,0,18968,3,164.03
148.784,0,0,18982,3,138.12
148.891,0,0,18998,3,148.57
148.985,0,0,19014,3,170.13
149.083,0,0,19028,3,143.18
149.193,0,0,19044,3,145.64
149.281,0,0,19059,3,171.03
149.38,0,0,19073,3,140.93
149.499,0,0,19091,3,151.38
149.586,0,0,19106,3,173.2
149.684,0,0,19120,3,142.68
149.783,0,0,19136,3,161.73
149.882,0,0,19149,3,130.74
149.981,0,0,19163,3,142.14
150.083,0,0,19181,3,175.63
150.184,0,0,19195,3,138.55
150.284,0,0,19209,3,139.66
150.383,0,0,19226,3,171.91
150.482,0,0,19240,3,141.94
150.584,0,0,19254,3,137.51
150.68,0,0,19271,3,176.16
150.781,0,0,19285,3,138.44
150.882,0,0,19299,3,138.35
150.983,0.0008,0,19316,3,169.18
151.084,0.0067,0,19329,3,128.62
151.182,0.0109,0,19342,3,132.07
151.283,0.0118,0,19358,3,159.2
151.383,0.0114,0,19372,3,139.44
151.487,0.0078,0,19387,3,145.02
151.584,0.0051,0,19404,4,174.14
151.68,0.0049,0,19416,4,125.23
151.79,0.0047,0,19432,4,145.92
151.88,0.0046,0,19446,4,155.29
151.984,0.0046,0,19461,4,144.41
152.096,0.0046,0,19477,4,142.85
152.183,0.0046,0,19491,4,161.6
152.281,0.0046,0,19505,4,142.33
152.384,0.0046,0,19523,4,175.2
152.482,0.0046,0,19537,4,141.9
152.581,0.0046,0,19551,4,142.4
152.685,0.0046,0,19569,4,172.68
152.782,0.0046,0,19583,4,143.56
152.884,0.0087,0,19597,4,137.9
152.98,0.014,0,19613,4,165.73
153.085,0.02,0,19627,4,134.26
153.183,0.0266,0,19641,4,142.74
153.282,0.029,0,19658,4,171.51
153.381,0.0316,0,19672,4,141.8
153.485,0.0341,0,19687,4,144.44
153.584,0.0361,0,19704,4,171.34
153.684,0.0361,0,19718,4,140.28
153.782,0.036,0,19732,4,141.92
153.881,0.0358,0,19748,4,162.68
153.982,0.0357,0,19762,4,138.56
154.084,0.0356,0,19776,4,136.29
154.182,0.0354,0,19793,4,174.69
154.282,0.0354,0,19807,4,139.38
154.384,0.0353,0,19822,4,146.43
154.482,0.0353,0,19839,4,174.99
